Longitude,Latitude,Source,Impact
-82.30858,35.47040,"S2,UA",Road
-82.30161,35.47807,"S2,UA",Building
-82.30714,35.46757,UA,Road
-82.16244,35.78113,"S2,UA",Road
-82.18438,35.75218,"S2,UA",Road
-82.18516,35.74945,"S2,UA",Road
-82.31310,35.46310,"DOT,UA",Road
-81.74921,36.23543,MR,Building
-82.31661,35.46409,"PL,UA",Road
-82.29469,35.44486,UA,Road
-82.29383,35.44437,UA,Road
-82.29455,35.44376,UA,NONE
-82.29580,35.44351,UA,Road
-82.35267,35.43197,"S2,UA",NONE
-82.35223,35.43322,"S2,UA",NONE
-82.26095,35.44864,"S2,UA",Various
-82.26564,35.45077,"PL,UA",UNCLEAR
-82.29380,35.44763,UA,River
-82.31861,35.52889,CAP,Road
-82.31061,35.54021,CAP,NONE
-82.31306,35.56361,CAP,Building
-82.32372,35.80818,"PL,S2",Other
-82.32984,35.22406,"PL,S2",UNCLEAR
-82.14167,35.84174,"FO,PL,S2",River
-82.25641,35.44452,"PL,UA",Road
-82.30667,35.22314,"PL,S2",Road
-82.25745,35.44719,"S2,UA",River
-82.16820,35.84757,"PL,S2",Road
-82.33038,35.22133,"PL,S2",Road
-82.31211,35.23419,PL,Road
-82.29953,35.27794,"PL,S2",Road
-82.25227,35.45143,"S2,UA",Various
-82.27967,35.42491,"PL,S2",Road
-82.48412,35.53125,PC,Building
-82.25961,35.44781,"PL,S2,UA",UNCLEAR
-82.25846,35.44795,"PL,S2,UA",UNCLEAR
-82.24872,35.45684,"NO,S2,UA",Various
-82.25110,35.44535,"PL,S2",UNCLEAR
-82.24851,35.45356,"PL,S2",Various
-82.20902,35.45013,"S2,UA",NONE
-82.15585,35.73235,PL,River
-82.33906,35.51540,FO,Building
-82.16567,35.73387,S2,NONE
-82.16152,35.75269,PL,NONE
-82.18234,35.44047,PL,Road
-82.18354,35.44328,PL,UNCLEAR
-82.12932,35.74757,"PL,S2",Road
-82.00387,36.00603,"PL,S2",Building
-82.00758,36.08247,"NO,PL,S2",Building
-82.24819,35.39944,"PL,S2",Road
-82.24700,35.39962,"PL,S2",Road
-82.24607,35.39978,"PL,S2",Road
-82.17502,35.72903,PL,NONE
-82.17524,35.72887,PL,NONE
-82.18054,35.73826,PL,NONE
-82.17015,35.75646,PL,River
-82.09618,35.80318,PL,Building
-82.09705,35.84010,"PL,S2",Road
-81.98299,35.87223,"PL,S2",Various
-82.39003,35.24260,"PL,S2",Other
-82.38586,35.25039,"PL,UA",Road
-82.42691,35.24704,"PL,S2",Building
-82.43002,35.24500,"PL,S2",Road
-81.96295,35.88157,"PL,S2",NONE
-81.96290,35.87585,"PL,S2",NONE
-82.09550,35.80335,PL,Road
-82.34623,35.78267,UA,Building
-82.24863,35.46280,UA,Building
-82.10545,35.83752,"PL,S2",Building
-82.37147,35.93997,"PL,S2",Building
-82.10826,35.83594,"PL,S2",Various
-82.36587,35.95031,"PL,S2",Road
-82.36743,35.94998,"PL,S2",UNCLEAR
-82.43982,35.96912,"PL,S2",UNCLEAR
-82.11449,35.83205,"PL,S2",Road
-82.05205,35.77026,PL,NONE
-82.14693,35.80197,"PL,S2",NONE
-82.14879,35.67674,PL,UNCLEAR
-82.43628,35.23671,PL,UNCLEAR
-82.48304,35.35385,PL,Road
-82.39201,35.25325,"PL,S2",River
-82.39170,35.25479,PL,River
-82.42438,35.25545,"PL,S2",UNCLEAR
-81.95306,35.86275,UA,Building
-82.39384,35.23792,"PL,S2",Other
-82.35326,35.54249,UA,Road
-82.39399,35.23873,"PL,S2",Other
-82.39379,35.23736,PL,River
-82.39391,35.23950,PL,Other
-82.39249,35.24064,"PL,S2",Other
-82.39197,35.24102,"PL,S2",Other
-82.38926,35.24249,PL,River
-82.39295,35.24047,"PL,S2",Other
-82.35176,35.54255,UA,Road
-82.38670,35.24992,"PL,S2,UA",Road
-82.36113,35.61922,"NO,PL,UA",Various
-82.38549,35.25163,"PL,S2",Road
-82.06549,35.80792,UA,Building
-82.07254,35.81187,UA,Road
-82.27996,35.62707,UA,Building
-82.27996,35.62774,UA,Road
-82.29576,35.62712,UA,Various
-82.29605,35.62529,UA,Road
-83.64442,35.24573,S2,NONE
-83.67337,35.21850,S2,Road
-82.40005,35.54181,PL,UNCLEAR
-81.79208,36.27168,S2,Road
-82.30239,35.62635,UA,Building
-82.30016,35.62660,UA,UNCLEAR
-81.79236,36.27990,S2,Building
-81.79587,36.28273,S2,Building
-82.30661,35.62931,UA,Other
-81.78706,36.27306,S2,Building
-81.79978,36.28970,S2,NONE
-81.80091,36.29075,S2,Other
-82.14813,35.65755,UA,Building
-81.70043,36.25839,S2,Various
-81.75594,36.32300,S2,NONE
-82.25271,35.65558,"S2,UA",Various
-82.25415,35.66168,UA,Building
-81.68916,36.22910,NO,Road
-81.95427,36.46585,S2,NONE
-81.67637,36.22561,NO,NONE
-81.71000,36.22366,NO,Road
-81.72420,36.21308,"NO,S2",Other
-81.89019,36.56964,S2,NONE
-81.74013,36.20296,"NO,S2",NONE
-82.03442,36.52233,S2,Other
-82.17445,35.54933,"FO,S2,UA",UNCLEAR
-81.98319,36.11585,"NO,S2",Road
-81.98314,36.09935,"NO,S2",Building
-81.98194,36.10031,"NO,S2",River
-81.98466,36.09833,NO,Road
-81.99110,36.09860,"NO,S2",Building
-81.98969,36.09176,"NO,S2",Building
-81.99009,36.09300,"NO,S2",Other
-81.99103,36.09042,"NO,S2",Building
-82.00441,36.09309,"NO,S2",Road
-81.97348,36.17292,"NO,S2",Road
-82.01761,36.06495,"NO,S2",Building
-82.01343,36.06930,"NO,S2",Road
-82.00165,36.07244,"NO,S2",Road
-81.99484,36.06553,"NO,S2",Road
-81.67696,36.41385,"FO,S2,UA",Road
-81.69246,36.40590,"FO,S2",Building
-82.02255,36.05010,"NO,S2",Road
-81.56658,36.53115,"S2,UA",Various
-82.00307,36.04808,"NO,S2",Road
-82.01713,36.02743,"NO,S2",Other
-82.02224,36.00978,"NO,S2,UA",UNCLEAR
-81.53825,36.42407,UA,Building
-81.53926,36.42362,"S2,UA",Building
-81.44731,36.26000,UA,UNCLEAR
-81.67881,36.22509,FO,Building
-82.86774,35.62709,UA,Building
-81.99850,36.04611,NO,Other
-83.38553,35.18995,NO,Building
-81.74395,36.26352,"MR,S2",Building
-83.36836,35.15431,NO,NONE
-81.76122,36.27000,MR,Building
-81.88833,36.06251,"NO,PC,S2",Road
-81.75225,36.27226,S2,Building
-81.97958,36.09157,"NO,S2",Building
-81.57325,36.24680,FO,Building
-82.80434,35.89988,NO,Road
-81.44333,36.55972,CAP,Road
-82.86960,35.45940,NO,Building
-82.87937,35.45491,NO,UNCLEAR
-82.88216,35.45180,NO,NONE
-82.88436,35.44975,NO,NONE
-81.75969,36.27045,FO,Road
-81.75906,36.27070,FO,Road
-81.77883,36.25684,MR,Building
-81.74280,36.34692,FO,Road
-80.96056,36.41694,"CAP,S2",UNCLEAR
-81.96433,35.98410,"FO,NO,S2",Road
-81.70354,36.18925,FO,Road
-83.17537,35.59728,S2,River
-81.70656,36.20148,"FO,NO",UNCLEAR
-81.71949,36.19472,"FO,NO,S2",Road
-82.37500,35.62577,"NO,S2,UA",NONE
-82.26962,35.63067,"NO,S2",Road
-82.30980,35.59350,"FO,NO",Road
-82.31698,35.59476,NO,Building
-82.33967,35.58820,"FO,NO,S2",Building
-82.10257,35.66523,NO,Road
-81.69945,36.23564,PC,Building
-81.70029,36.25074,S2,River
-81.74870,36.25463,S2,Other
-81.77270,36.28485,S2,River
-82.05582,35.88040,FO,UNCLEAR
-82.04625,35.90322,NO,Building
-81.73729,36.20419,"CAP,S2",Building
-81.79030,36.28365,S2,Building
-81.79478,36.28525,"FO,S2",Various
-81.81452,36.27539,S2,Various
-81.90340,36.04336,"FO,NO,S2",Various
-81.87130,36.05308,"NO,S2",Other
-81.97862,36.12980,NO,Other
-81.75628,36.17401,"NO,S2,UA",Road
-81.58833,36.15697,S2,Building
-81.76981,36.15669,NO,Building
-81.69307,36.14729,NO,Road
-83.90113,34.85869,S2,UNCLEAR
-83.76431,34.98349,S2,Building
-82.34359,35.58526,"NO,S2,UA",UNCLEAR
-83.92953,35.06298,S2,NONE
-82.32391,35.59363,NO,Building
-81.67468,36.37204,FO,Road
-81.73571,36.33434,PC,Road
-81.74573,36.28815,FO,Road
-82.00266,36.09263,"NO,S2",Other
-82.00381,36.07078,"FO,NO,S2",Road
-81.99173,36.06434,"FO,NO",Road
-81.87482,36.06716,"NO,S2",Building
-81.74596,36.28879,PC,Other
-82.35032,35.59059,NO,Building
-83.47708,35.43186,NO,NONE
-81.78359,36.23142,UA,NONE
-81.67905,36.22439,NO,Building
-81.78455,36.23053,UA,NONE
-81.63542,36.17542,MR,Building
-81.64727,36.18728,"MR,S2",Building
-81.73103,36.12251,NO,Road
-81.85675,36.12857,PC,Road
-81.93528,36.00333,CAP,Road
-81.67997,36.22609,FO,Road
-81.70861,36.15398,"FO,S2",Road
-81.94250,35.87500,CAP,Other
-81.99222,35.83722,CAP,Various
-82.46712,36.12651,S2,River
-82.49428,36.10470,S2,River
-82.05400,35.80906,CAP,Building
-81.91524,36.07390,CAP,Road
-82.44333,36.12694,CAP,Road
-82.44640,36.12308,CAP,Road
-82.42889,36.14139,CAP,Road
-81.70612,36.69262,S2,NONE
-82.09593,36.65292,S2,Other
-82.10777,36.64718,"PL,S2",Road
-81.75205,36.32703,S2,Building
-81.75261,36.32740,S2,Other
-81.74699,36.32916,S2,NONE
-82.60529,35.28666,"NO,S2",NONE
-81.74490,36.33014,S2,NONE
-81.76804,36.32306,S2,Building
-81.82311,36.31318,S2,UNCLEAR
-81.76059,36.31228,S2,Building
-81.76555,36.31572,S2,Other
-81.75583,36.31347,S2,Other
-81.72542,36.36943,S2,Building
-81.64731,36.28472,S2,UNCLEAR
-81.64892,36.20660,S2,Road
-81.64193,36.21042,S2,Building
-82.39033,35.62264,"NO,PL,S2,UA",NONE
-82.38876,35.62224,"NO,PL,S2,UA",Road
-82.66182,35.59078,PC,Building
-82.44825,35.59146,UA,Road
-81.64649,36.16185,NO,Building
-81.64524,36.20191,NO,Road
-81.68642,36.20730,NO,Road
-81.53880,36.57208,S2,Road
-81.53988,36.57079,S2,Road
-82.21361,35.90861,CAP,Building
-82.24361,35.90861,"CAP,PL,S2",Road
-82.39139,35.94194,CAP,Road
-82.26850,35.72967,S2,River
-82.19705,35.73606,S2,Road
-82.38944,35.93222,CAP,Other
-82.38556,35.92333,CAP,Road
-82.38861,35.92556,CAP,Building
-81.74614,36.23186,MR,Building
-82.02295,35.69618,NO,Other
-82.02575,35.69391,NO,Other
-82.35454,35.94073,"MR,S2",Building
-82.35584,35.94393,S2,Various
-82.35522,35.94883,"PL,S2",Building
-82.35419,35.94652,S2,Building
-82.35505,35.95458,S2,Building
-82.35050,35.95496,S2,UNCLEAR
-82.35702,35.95290,S2,River
-82.36223,35.93746,S2,Building
-82.31680,35.92116,MR,Building
-82.28218,35.81630,S2,Building
-82.35197,35.55781,FO,Road
-82.32386,35.55566,FO,Various
-82.33165,35.55337,FO,Road
-82.35178,35.51526,FO,Building
-82.39583,35.89083,CAP,Other
-82.40000,35.88333,CAP,Building
-82.38000,35.89694,CAP,Other
-82.12435,36.46836,S2,NONE
-81.78664,36.44189,S2,Road
-82.37000,35.89444,CAP,Road
-82.37381,35.88337,CAP,Road
-82.37056,35.91389,"CAP,S2",Building
-82.32560,35.93358,"MR,S2",Building
-82.34694,35.90889,CAP,Road
-82.25500,35.91806,CAP,Road
-82.25694,35.90861,CAP,Road
-82.53320,35.61494,FO,Road
-82.41008,35.58282,FO,Building
-82.40280,35.58178,FO,Road
-82.40285,35.57780,FO,Road
-82.37628,35.59373,FO,Road
-82.28399,35.46243,FO,Road
-82.50601,35.48673,NO,Road
-81.22562,36.68765,S2,Road
-82.39743,35.62095,UA,UNCLEAR
-82.39869,35.62135,UA,UNCLEAR
-82.28495,35.46226,FO,River
-81.96690,35.98301,FO,UNCLEAR
-82.26999,35.23220,"FO,PC",Building
-81.94384,35.88192,FO,Building
-82.36174,35.58375,"FO,S2",Building
-82.36001,35.58422,FO,Building
-81.59133,36.50059,"FO,S2",Road
-81.48098,36.42676,FO,Building
-82.71420,35.19869,"PC,S2",Road
-82.38789,35.24818,"FO,UA",Road
-82.31742,35.84965,"FO,S2",Building
-82.31638,35.84874,"FO,S2",Building
-82.31664,35.85243,"FO,S2",Road
-82.31647,35.85395,"FO,S2",Building
-82.31016,35.85377,"FO,S2",Road
-82.25480,35.89880,"CAP,S2",Other
-82.21444,35.90389,CAP,Road
-82.23048,35.89449,"CAP,S2",Building
-82.19667,35.87111,CAP,Various
-82.41491,35.62186,UA,UNCLEAR
-82.42463,35.62002,UA,UNCLEAR
-82.40508,35.59125,UA,UNCLEAR
-82.40702,35.59138,UA,UNCLEAR
-82.38952,35.59410,UA,Various
-82.38480,35.59626,UA,NONE
-82.36347,35.59600,UA,Various
-82.82151,35.44194,"S2,UA",UNCLEAR
-82.81729,35.43867,"S2,UA",NONE
-82.37930,35.61119,"NO,S2,UA",Various
-82.81587,35.44602,"S2,UA",UNCLEAR
-82.16583,35.76611,"CAP,S2,UA",Road
-82.88625,35.44767,"NO,UA",NONE
-82.68984,35.54699,S2,NONE
-82.18337,35.58953,"PL,S2",Other
-82.88118,35.44858,"NO,UA",NONE
-82.67739,35.45396,S2,UNCLEAR
-82.49849,35.63472,"NO,UA",UNCLEAR
-82.67556,35.24412,"S2,UA",UNCLEAR
-81.71682,35.61788,S2,River
-82.34414,35.86269,"S2,UA",NONE
-82.68392,35.15759,S2,Road
-82.47790,35.66442,UA,Road
-82.32954,35.86308,"MR,S2",Road
